Partner_Name,Contact_Number,Email,Service_Area,Rating,Status
Blue Dart,9387076461,mangatbhanumati@palla.info,Hyderabad,3.8,Active
Delhivery,9397651634,upurohit@chand.com,Karnataka,4.8,Inactive
DTDC,9216110794,bbhatt@hans.com,Hyderabad,4.8,Active
Ekart,9542038757,iraju@ram-seshadri.com,Karnataka,4.3,Inactive
Ecom Express,9696522830,gkhurana@edwin-sahni.com,Hyderabad,3.5,Active
Xpressbees,9149394773,meghapalla@munshi.com,North India,3.7,Active
India Post,9721139249,ishita17@grewal.com,South India,3.8,Active
Shadowfax,9438908380,goelanita@ramanathan.com,Karnataka,4.8,Active
FedEx,9856473749,suhani20@raghavan-choudhary.com,Karnataka,3.7,Inactive
DHL,9323942232,sarthak87@lata.com,Karnataka,3.8,Active
