Product_ID,Warehouse_ID,Stock_Quantity,Reorder_Level,Maximum_Stock,Stock_Status,Last_Stock_Update
1,1,567,183,841,In Stock,2025-09-20
1,2,970,139,941,In Stock,2026-06-05
1,3,946,83,524,In Stock,2025-09-21
1,4,407,114,1485,In Stock,2025-10-12
1,5,54,151,700,Low Stock,2026-04-14
1,6,998,109,660,In Stock,2025-10-27
1,7,961,152,1433,In Stock,2026-02-14
1,8,963,103,1255,In Stock,2025-12-18
1,9,365,121,310,In Stock,2026-04-07
1,10,536,87,192,In Stock,2025-07-31
2,1,695,125,431,In Stock,2026-04-21
2,2,684,104,1065,In Stock,2026-03-15
2,3,229,89,481,In Stock,2025-10-07
2,4,630,141,261,In Stock,2026-04-24
2,5,924,97,1003,In Stock,2025-12-11
2,6,677,143,1328,In Stock,2025-07-31
2,7,347,178,702,In Stock,2025-10-17
2,8,754,68,434,In Stock,2025-11-26
2,9,12,94,989,Low Stock,2025-12-03
2,10,223,197,678,In Stock,2026-06-12
3,1,891,70,619,In Stock,2025-09-05
3,2,125,170,1118,Low Stock,2025-11-02
3,3,30,59,325,Low Stock,2025-10-21
3,4,70,143,328,Low Stock,2025-10-05
3,5,797,70,1431,In Stock,2026-06-26
3,6,477,188,577,In Stock,2026-03-07
3,7,352,80,258,In Stock,2025-07-19
3,8,147,162,519,Low Stock,2025-10-20
3,9,857,116,1377,In Stock,2025-11-02
3,10,689,170,1032,In Stock,2026-06-25
4,1,649,65,1020,In Stock,2026-06-21
4,2,281,195,1471,In Stock,2025-12-03
4,3,909,155,1207,In Stock,2025-12-20
4,4,127,196,449,Low Stock,2025-10-16
4,5,685,123,684,In Stock,2025-07-15
4,6,208,68,955,In Stock,2026-03-10
4,7,559,157,371,In Stock,2026-05-28
4,8,813,190,724,In Stock,2026-04-21
4,9,158,124,1490,In Stock,2026-03-30
4,10,583,85,1072,In Stock,2026-02-12
5,1,312,136,1458,In Stock,2026-03-16
5,2,881,164,1212,In Stock,2025-10-27
5,3,815,125,916,In Stock,2025-10-13
5,4,522,196,472,In Stock,2026-06-17
5,5,479,166,540,In Stock,2025-07-24
5,6,654,146,1120,In Stock,2026-03-13
5,7,232,119,1138,In Stock,2025-12-30
5,8,998,157,1261,In Stock,2026-04-12
5,9,44,192,874,Low Stock,2025-11-29
5,10,96,182,1230,Low Stock,2025-11-08
6,1,679,96,419,In Stock,2026-05-27
6,2,296,142,716,In Stock,2026-03-16
6,3,280,169,465,In Stock,2026-02-07
6,4,14,190,763,Low Stock,2025-08-16
6,5,449,63,1048,In Stock,2025-09-13
6,6,704,193,302,In Stock,2025-09-12
6,7,468,156,840,In Stock,2026-01-03
6,8,742,104,876,In Stock,2025-08-09
6,9,700,149,978,In Stock,2026-01-23
6,10,243,69,1095,In Stock,2025-11-28
7,1,723,109,1308,In Stock,2026-02-18
7,2,610,177,916,In Stock,2026-06-09
7,3,883,137,842,In Stock,2025-08-17
7,4,135,126,1204,In Stock,2025-11-01
7,5,630,98,1246,In Stock,2026-03-19
7,6,368,85,308,In Stock,2026-03-23
7,7,722,94,233,In Stock,2026-07-03
