Customer_ID,Membership_Level,Reward_Points,Join_Date,Expiry_Date,Status
1,Silver,46953,2023-05-22,2024-05-21,Active
2,Bronze,269,2023-05-04,2024-05-03,Active
3,Gold,13591,2026-04-10,2027-04-10,Active
4,Bronze,28221,2022-04-12,2023-04-12,Active
5,Bronze,38087,2023-11-06,2024-11-05,Active
6,Bronze,5692,2025-11-06,2026-11-06,Active
7,Bronze,12892,2026-01-17,2027-01-17,Active
8,Silver,8069,2023-11-12,2024-11-11,Active
9,Bronze,19821,2024-10-11,2025-10-11,Inactive
10,Bronze,34665,2025-07-14,2026-07-14,Active
11,Bronze,43532,2023-04-07,2024-04-06,Active
12,Bronze,41857,2022-07-27,2023-07-27,Inactive
13,Bronze,41352,2024-12-31,2025-12-31,Active
14,Silver,38135,2025-12-12,2026-12-12,Active
15,Gold,43800,2023-08-19,2024-08-18,Active
16,Bronze,36989,2024-07-05,2025-07-05,Active
17,Silver,28119,2026-05-02,2027-05-02,Active
18,Bronze,32149,2026-03-27,2027-03-27,Active
19,Silver,15791,2022-02-15,2023-02-15,Active
20,Bronze,15133,2023-03-16,2024-03-15,Active
21,Gold,23754,2022-12-23,2023-12-23,Active
22,Bronze,45987,2025-12-18,2026-12-18,Active
23,Bronze,28070,2021-08-07,2022-08-07,Active
24,Gold,23870,2025-08-15,2026-08-15,Active
25,Bronze,18260,2021-08-02,2022-08-02,Inactive
26,Silver,30332,2024-07-29,2025-07-29,Active
27,Gold,16890,2023-09-13,2024-09-12,Active
28,Bronze,14599,2022-12-08,2023-12-08,Active
29,Gold,27456,2022-02-06,2023-02-06,Active
30,Bronze,36514,2024-05-10,2025-05-10,Active
31,Silver,39573,2022-08-07,2023-08-07,Active
32,Silver,37343,2023-10-30,2024-10-29,Active
33,Silver,26371,2025-11-19,2026-11-19,Active
34,Bronze,39748,2021-11-04,2022-11-04,Active
35,Bronze,8951,2022-05-06,2023-05-06,Active
36,Silver,22975,2025-10-12,2026-10-12,Active
37,Bronze,33436,2022-09-28,2023-09-28,Active
38,Bronze,40415,2023-09-13,2024-09-12,Active
39,Bronze,35580,2023-11-23,2024-11-22,Active
40,Bronze,17032,2023-02-25,2024-02-25,Active
41,Bronze,35224,2026-01-30,2027-01-30,Active
42,Bronze,31245,2024-08-17,2025-08-17,Active
43,Bronze,6536,2022-10-08,2023-10-08,Active
44,Bronze,1762,2025-08-31,2026-08-31,Active
45,Gold,3169,2025-03-03,2026-03-03,Active
46,Bronze,5978,2026-06-21,2027-06-21,Active
47,Platinum,41459,2026-03-21,2027-03-21,Active
48,Bronze,33751,2023-04-21,2024-04-20,Active
49,Bronze,13567,2024-07-25,2025-07-25,Active
50,Bronze,48364,2022-01-11,2023-01-11,Active
51,Gold,426,2022-09-12,2023-09-12,Active
52,Silver,4374,2022-09-04,2023-09-04,Active
53,Gold,43393,2022-03-01,2023-03-01,Inactive
54,Silver,2892,2025-03-28,2026-03-28,Active
55,Silver,18091,2025-08-16,2026-08-16,Active
56,Silver,5485,2026-04-28,2027-04-28,Active
57,Gold,38737,2023-11-24,2024-11-23,Active
58,Silver,3586,2022-12-31,2023-12-31,Inactive
59,Silver,9281,2026-04-25,2027-04-25,Active
60,Bronze,37022,2025-08-04,2026-08-04,Active
61,Bronze,348,2026-03-22,2027-03-22,Active
62,Silver,27924,2024-07-20,2025-07-20,Inactive
63,Gold,948,2026-03-11,2027-03-11,Active
64,Bronze,12411,2022-12-01,2023-12-01,Active
65,Bronze,26907,2026-05-30,2027-05-30,Active
66,Silver,41932,2024-01-31,2025-01-30,Active
67,Silver,37030,2025-11-03,2026-11-03,Active
68,Bronze,31100,2024-12-24,2025-12-24,Active
