Campaign_Name,Campaign_Type,Start_Date,End_Date,Budget,Revenue_Generated,ROI,Status
Campaign 1,Flash Sale,2024-08-01,2024-10-02,1880679.33,7654508.11,307.01,Completed
Campaign 2,Email Marketing,2021-08-14,2021-10-08,108688.04,492362.1,353,Completed
Campaign 3,Social Media,2024-11-17,2024-12-18,240385.78,249485.67,3.79,Planned
Campaign 4,Festival Offer,2022-10-03,2022-10-25,1298251.52,5537549.05,326.54,Planned
Campaign 5,Influencer Marketing,2022-03-25,2022-04-24,702053.76,1957348.02,178.8,Completed
Campaign 6,Email Marketing,2022-06-11,2022-08-20,499834.93,2253571.54,350.86,Completed
Campaign 7,Email Marketing,2022-04-24,2022-06-24,1108110.37,2602566.89,134.87,Planned
Campaign 8,Influencer Marketing,2024-09-08,2024-10-11,999287.47,1509695.68,51.08,Active
Campaign 9,Festival Offer,2024-01-30,2024-02-29,848288.87,900849.9,6.2,Completed
Campaign 10,Influencer Marketing,2023-02-21,2023-03-10,711684.54,2530903.37,255.62,Completed
Campaign 11,TV Advertisement,2024-11-22,2025-01-26,1866394.29,10247147.09,449.03,Completed
Campaign 12,TV Advertisement,2026-01-23,2026-04-08,961313.82,3915332.38,307.29,Active
Campaign 13,SMS Marketing,2022-02-19,2022-04-18,992541.36,4967076.86,400.44,Completed
Campaign 14,Influencer Marketing,2025-05-26,2025-07-22,94300.11,376568.11,299.33,Completed
Campaign 15,Social Media,2024-02-18,2024-03-06,1698647.05,2197215.69,29.35,Active
Campaign 16,Festival Offer,2022-02-10,2022-04-08,1710053.46,2139780.71,25.13,Completed
Campaign 17,SMS Marketing,2024-02-05,2024-04-14,1338010.87,4049872.57,202.68,Completed
Campaign 18,Referral Program,2022-01-04,2022-01-29,1636624.61,7976004.53,387.34,Completed
Campaign 19,Social Media,2025-01-02,2025-02-17,1097298.33,5383872.06,390.65,Completed
Campaign 20,Festival Offer,2023-03-09,2023-05-21,1969588.77,7582461.03,284.98,Completed
Campaign 21,Influencer Marketing,2023-10-22,2024-01-04,1756497.52,2634863.83,50.01,Completed
Campaign 22,Referral Program,2023-02-28,2023-04-22,658670.76,2714520.86,312.12,Completed
Campaign 23,Google Ads,2023-10-22,2023-12-13,1975019.44,3845656.42,94.71,Completed
Campaign 24,Seasonal Sale,2023-11-07,2023-11-22,363139.45,1823280.93,402.09,Active
Campaign 25,Seasonal Sale,2024-05-05,2024-05-29,986816,4710424.85,377.34,Completed
Campaign 26,Seasonal Sale,2024-02-11,2024-04-30,234694.62,1201732.35,412.04,Completed
Campaign 27,TV Advertisement,2023-03-03,2023-05-24,76020.93,410124.18,439.49,Active
Campaign 28,Google Ads,2025-12-31,2026-03-02,909764.72,998482.6,9.75,Completed
Campaign 29,Influencer Marketing,2023-07-28,2023-10-06,1848964.71,3949080.05,113.58,Completed
Campaign 30,Influencer Marketing,2021-07-18,2021-08-09,240018.42,881541.56,267.28,Completed
Campaign 31,Social Media,2021-12-17,2022-03-11,562765.11,1362348.43,142.08,Completed
Campaign 32,Seasonal Sale,2021-08-12,2021-10-17,259205.9,1263377.79,387.4,Planned
Campaign 33,Referral Program,2024-09-26,2024-11-03,621831.24,1287666.37,107.08,Completed
Campaign 34,Flash Sale,2025-07-12,2025-07-27,1959145.65,3566077.03,82.02,Completed
Campaign 35,Seasonal Sale,2022-01-14,2022-04-07,1549621.08,2117543.78,36.65,Active
Campaign 36,Flash Sale,2022-12-19,2023-01-25,1379191.66,6778925.62,391.51,Completed
Campaign 37,Seasonal Sale,2026-06-10,2026-08-17,1166653.4,4799427.29,311.38,Active
Campaign 38,Email Marketing,2024-08-17,2024-09-06,1676642.39,4896907.98,192.07,Active
Campaign 39,Festival Offer,2026-01-29,2026-02-19,1558873.33,5536144.02,255.14,Completed
Campaign 40,Email Marketing,2023-10-14,2023-12-14,798939.51,3524181.32,341.11,Planned
Campaign 41,Flash Sale,2024-07-22,2024-09-22,1438060.15,3597618.6,150.17,Active
Campaign 42,Festival Offer,2025-06-17,2025-07-09,1795102.56,8241856.4,359.13,Completed
Campaign 43,Referral Program,2025-07-20,2025-10-06,751633.84,3566586.43,374.51,Completed
Campaign 44,Email Marketing,2022-05-27,2022-07-03,1742717.4,7251912.8,316.13,Completed
Campaign 45,Flash Sale,2022-06-20,2022-07-21,1509020.77,4558391.77,202.08,Completed
Campaign 46,Festival Offer,2022-12-05,2023-02-21,1732451.9,5478129.8,216.21,Active
Campaign 47,SMS Marketing,2023-06-12,2023-07-05,575072.66,2297732.46,299.56,Planned
Campaign 48,Referral Program,2024-02-12,2024-04-11,346824.69,671119.77,93.5,Completed
Campaign 49,TV Advertisement,2024-10-02,2024-11-14,1911123.63,5746864.88,200.71,Completed
Campaign 50,Influencer Marketing,2024-02-28,2024-04-11,1562043.43,7578044.54,385.14,Planned
Campaign 51,Influencer Marketing,2023-04-05,2023-06-23,1736283.26,6943754.29,299.92,Completed
Campaign 52,Social Media,2024-07-28,2024-08-24,1954311.22,9015867.63,361.33,Completed
Campaign 53,Google Ads,2022-11-08,2023-01-31,778646.43,1735689.67,122.91,Completed
Campaign 54,Email Marketing,2024-11-02,2024-12-08,1224804.92,6076441.36,396.12,Completed
Campaign 55,Flash Sale,2022-08-12,2022-10-30,1107499.79,1510136.37,36.36,Completed
Campaign 56,Flash Sale,2025-01-16,2025-03-01,1374321.95,2469739.31,79.71,Completed
Campaign 57,Email Marketing,2025-08-25,2025-09-10,513314.61,2635947.41,413.51,Completed
Campaign 58,Influencer Marketing,2024-06-18,2024-07-06,1964625.59,10373084.39,427.99,Completed
Campaign 59,Seasonal Sale,2022-10-03,2022-12-01,285801.33,1127804.87,294.61,Active
Campaign 60,Social Media,2024-07-09,2024-09-24,615268.2,1686432.55,174.1,Completed
Campaign 61,TV Advertisement,2025-04-15,2025-06-21,1512648.35,4976063.38,228.96,Active
Campaign 62,Email Marketing,2024-08-03,2024-10-02,1873708.02,1704352.34,-9.04,Completed
Campaign 63,Festival Offer,2023-08-26,2023-11-01,704173.58,734582.27,4.32,Planned
Campaign 64,Referral Program,2025-12-03,2026-02-17,155163.59,232102.81,49.59,Active
Campaign 65,Seasonal Sale,2023-01-03,2023-02-16,418670.72,1833116.76,337.84,Completed
Campaign 66,Social Media,2022-12-27,2023-03-06,531879.99,2566688.07,382.57,Completed
Campaign 67,Festival Offer,2021-08-02,2021-09-26,1152558.42,1987013.4,72.4,Active
Campaign 68,Email Marketing,2021-08-13,2021-08-31,760660.25,3608913.79,374.44,Completed
Campaign 69,Influencer Marketing,2025-06-30,2025-09-12,230274.96,583728.38,153.49,Completed
Campaign 70,Festival Offer,2022-07-25,2022-08-29,876247.32,3146426.59,259.08,Active
Campaign 71,Seasonal Sale,2022-04-11,2022-07-01,1449681.23,1352534.18,-6.7,Completed
Campaign 72,Festival Offer,2026-06-18,2026-07-23,1048573.49,1473973.51,40.57,Completed
Campaign 73,Social Media,2024-04-11,2024-06-04,1895843.44,2908795.02,53.43,Active
Campaign 74,Email Marketing,2021-08-09,2021-11-01,1207974.69,6304826.11,421.93,Active
Campaign 75,Referral Program,2024-02-15,2024-03-16,1001466.71,4305975.66,329.97,Completed
Campaign 76,Influencer Marketing,2022-10-11,2022-11-25,1144941.6,4392063.1,283.61,Completed
Campaign 77,Seasonal Sale,2025-10-18,2025-11-23,1606906.17,3833699.2,138.58,Completed
Campaign 78,Google Ads,2026-02-25,2026-04-08,1865635.37,5891638.56,215.8,Completed
Campaign 79,Seasonal Sale,2024-07-30,2024-09-30,1711025.66,3646964.23,113.14,Completed
Campaign 80,Referral Program,2025-05-28,2025-08-09,442982.98,2326463.91,425.18,Active
Campaign 81,Influencer Marketing,2024-06-18,2024-08-23,246138.98,1111787.02,351.69,Completed
Campaign 82,Seasonal Sale,2024-04-30,2024-07-25,1129286.37,2894182.12,156.28,Completed
Campaign 83,Referral Program,2023-06-06,2023-06-22,1124206.99,4669489.87,315.36,Completed
Campaign 84,Seasonal Sale,2024-07-13,2024-08-01,1525336.26,8209936.67,438.24,Completed
Campaign 85,Festival Offer,2022-10-02,2022-11-27,1587949.24,3886496.58,144.75,Active
Campaign 86,Social Media,2023-07-18,2023-10-03,1853799.16,5902177.04,218.38,Completed
Campaign 87,SMS Marketing,2024-03-06,2024-03-29,1098268.76,3068920.61,179.43,Completed
Campaign 88,Email Marketing,2022-01-18,2022-03-03,398025.82,414130.8,4.05,Completed
Campaign 89,Festival Offer,2025-12-12,2025-12-30,1558342.55,8178669.14,424.83,Completed
Campaign 90,Google Ads,2022-06-21,2022-09-13,1809952.72,5273183.73,191.34,Completed
Campaign 91,Festival Offer,2022-10-02,2022-12-31,915971.05,3652445.51,298.75,Completed
Campaign 92,TV Advertisement,2021-08-09,2021-10-16,1009439.39,4415900.64,337.46,Completed
Campaign 93,Influencer Marketing,2026-05-25,2026-06-14,1352849.83,4744157.02,250.68,Planned
Campaign 94,Referral Program,2023-06-09,2023-08-14,1778290.25,8272862.08,365.21,Completed
Campaign 95,SMS Marketing,2024-11-27,2024-12-15,547083.29,2107710.65,285.26,Completed
Campaign 96,Seasonal Sale,2025-09-25,2025-10-10,989017.85,1260150.84,27.41,Completed
Campaign 97,Seasonal Sale,2025-03-27,2025-06-01,443923.84,788589.63,77.64,Completed
Campaign 98,Seasonal Sale,2024-02-15,2024-03-31,569966.4,1130732.64,98.39,Planned
Campaign 99,Festival Offer,2024-02-02,2024-03-24,232093.94,282611.62,21.77,Completed
Campaign 100,Seasonal Sale,2024-08-09,2024-09-27,1788496.17,4182788.92,133.87,Active
