Order_ID,Product_ID,Quantity,Unit_Price,Discount,Line_Total
13788,443,3,23959.88,7.66,71871.98
2450,249,2,26476.75,4.92,52948.58
1807,54,2,14692.49,12.78,29372.2
6859,284,5,25055.29,6.95,125269.5
6466,380,4,30958.84,0.27,123835.09
3,498,1,17473.09,3.8,17469.29
6992,290,4,20444.39,4.89,81772.67
7178,150,2,40497.91,1.62,80994.2
511,231,3,19837.1,6.52,59504.78
3785,24,3,13339.45,3.3,40015.05
15902,81,1,36843.63,15.41,36828.22
17661,210,3,46167.68,17.52,138485.52
16933,362,4,1087.82,19.24,4332.04
3548,223,3,46030.15,6.36,138084.09
15410,445,4,12687.67,16.26,50734.42
12010,453,1,19696.45,12.59,19683.86
14430,134,4,15576.04,10.28,62293.88
11140,49,4,12954.06,5.32,51810.92
10169,44,2,34929.28,15.2,69843.36
6208,277,1,19884.96,17.88,19867.08
12603,26,5,17172.1,10.22,85850.28
8940,425,3,45290.57,15.14,135856.57
6836,447,3,38649.74,17.75,115931.47
9898,424,4,43522.89,14.9,174076.66
4771,443,4,48608.16,19.49,194413.15
7139,55,3,48715.99,3.87,146144.1
12152,228,4,405.23,12.28,1608.64
12126,450,1,3380.22,17.42,3362.8
5468,257,4,31070.07,9.06,124271.22
11547,315,1,36053.2,9.44,36043.76
11382,54,4,10283.25,13.71,41119.29
17055,139,3,28587.46,8.53,85753.85
8315,419,4,25806.57,6.98,103219.3
13484,145,1,31970.14,2.53,31967.61
4170,119,5,47699.21,0.59,238495.46
902,257,3,2975.27,1.95,8923.86
6776,80,5,37191.9,14.3,185945.2
10370,295,2,34654.58,19.88,69289.28
19366,261,1,7953.02,7.48,7945.54
19467,56,4,42699.02,3.47,170792.61
15953,42,1,36620.59,14.04,36606.55
4689,499,4,41108.4,18.73,164414.87
11190,184,4,16360.65,4.44,65438.16
7122,239,3,16007.21,12.62,48009.01
18720,88,3,17367.13,0.94,52100.45
2971,339,1,14129.33,3.23,14126.1
11354,430,2,47944.6,2.1,95887.1
13263,178,1,48888.59,19.49,48869.1
7636,299,2,10716.72,4.46,21428.98
7679,126,5,4586.46,17.67,22914.63
5933,20,3,48024.3,1.06,144071.84
19739,430,3,20976.85,8.64,62921.91
17695,484,4,25197.49,3.14,100786.82
168,267,2,34063.64,15.78,68111.5
17871,10,2,16239.87,13.3,32466.44
1851,324,1,17143.65,10.59,17133.06
10368,409,5,4733.79,3.96,23664.99
6687,146,4,16354.08,18.22,65398.1
12835,254,1,40645.09,7.86,40637.23
13033,327,2,35918.56,9.87,71827.25
14806,180,3,49545.74,2.49,148634.73
786,178,2,38877.05,12.28,77741.82
209,220,2,35349.2,7,70691.4
1356,13,5,13921.32,13.36,69593.24
13413,2,4,39308.35,9.87,157223.53
17947,76,3,44424.46,10.06,133263.32
10062,20,1,17248.38,12.79,17235.59
2548,309,3,9352.54,18.48,28039.14
8740,454,1,10891.52,15.38,10876.14
11496,356,5,42660.34,13.97,213287.73
2851,246,3,19735.95,18.18,59189.67
3484,473,1,31230.94,7.99,31222.95
2086,279,5,38016.65,13.94,190069.31
5951,490,4,30178.82,3.18,120712.1
8772,207,1,33622.54,14.02,33608.52
12571,254,2,30118.26,15.66,60220.86
4462,202,3,37174.67,4.31,111519.7
19015,308,4,44225.84,6.29,176897.07
8644,150,4,44503.16,5.95,178006.69
19426,301,4,10680.74,12.38,42710.58
14564,487,2,43167,16.33,86317.67
6282,329,4,38733.02,13.62,154918.46
11624,356,2,21691.05,10.47,43371.63
4654,144,2,23095.19,12.12,46178.26
6218,347,4,29371.88,9.99,117477.53
6263,381,3,7149.21,15.74,21431.89
15719,187,3,44671.53,9.51,134005.08
5218,472,3,19856.14,16.74,59551.68
12868,171,2,29764.47,14.61,59514.33
1192,476,2,22969.21,11.78,45926.64
16658,356,1,21205.19,8.1,21197.09
14935,47,3,44197.62,14.69,132578.17
4928,439,5,16205.42,0.86,81026.24
18531,445,5,39871.39,0.39,199356.56
3067,101,4,1388.45,8.16,5545.64
804,442,5,34670.64,6.56,173346.64
12788,234,5,23678.04,5.4,118384.8
5393,54,2,39269.76,5.88,78533.64
6145,176,2,10236.35,3.67,20469.03
2896,300,5,18587.61,17.92,92920.13
4615,4,4,44361.63,12.38,177434.14
9100,110,4,32837.16,14.43,131334.21
8382,445,3,33312.95,13.47,99925.38
12041,72,1,35043.9,13.13,35030.77
11233,251,3,901.75,13.34,2691.91
6981,478,4,46472.17,7.21,185881.47
8259,175,3,6618.79,11.94,19844.43
4138,199,5,40847.26,6.03,204230.27
13132,491,5,8151.25,6.95,40749.3
509,21,4,18836.72,19.59,75327.29
8493,179,4,3905.2,9.42,15611.38
19984,454,5,21370.68,16.63,106836.77
9098,448,2,49997.57,5.94,99989.2
11513,39,4,2953.47,4.89,11808.99
18373,486,4,38651.39,10.82,154594.74
1205,172,3,18447.57,11.48,55331.23
19440,377,1,21435.78,17.64,21418.14
16837,288,5,31035.37,13.28,155163.57
14027,61,4,32059.95,3.97,128235.83
4033,176,5,38090.87,5.59,190448.76
10979,6,1,47949.61,10.22,47939.39
4082,100,4,19393.52,15.16,77558.92
1424,321,2,42083.71,3.38,84164.04
175,278,2,35054.81,15.73,70093.89
19376,125,1,37458.44,8.58,37449.86
3632,111,4,7890.51,18.64,31543.4
15577,295,1,33556.68,2.89,33553.79
8657,372,1,2802.84,0.8,2802.04
13527,378,4,20563.07,4.06,82248.22
5415,141,1,28367.41,13.02,28354.39
19431,418,3,34763.89,17.19,104274.48
6319,143,3,10629,18.99,31868.01
7136,385,4,43925.11,13.2,175687.24
18472,340,5,31968.98,17.01,159827.89
4831,113,4,30616.49,1.71,122464.25
5909,443,5,33619.01,5.99,168089.06
9948,144,3,11761.97,1.19,35284.72
11506,136,3,21329.66,8.29,63980.69
2636,443,5,15115.61,2.58,75575.47
1460,133,4,14983.28,13.78,59919.34
664,339,3,45270.76,19.97,135792.31
17892,41,1,48904.79,12.64,48892.15
6585,445,3,3182.57,15.24,9532.47
2887,491,5,38677.19,17.52,193368.43
16035,190,2,2719.38,10.99,5427.77
19527,139,1,42161.88,13.03,42148.85
19259,165,3,3206.6,12.29,9607.51
10185,440,2,38462.71,12.29,76913.13
17735,346,3,42108.84,2.4,126324.12
868,423,5,8663.03,18.06,43297.09
12379,140,4,46881.41,19.44,187506.2
340,108,2,24646.99,3.45,49290.53
10614,470,2,12965.15,7.37,25922.93
16936,473,3,664.33,6.93,1986.06
609,485,2,5476.53,16.32,10936.74
9515,276,4,5314.24,10.56,21246.4
7328,232,3,9273.15,0.15,27819.3
4919,194,3,25478.38,19.54,76415.6
2631,20,1,9043.76,2.29,9041.47
6288,75,4,42659.28,19.04,170618.08
956,73,3,144.08,18.45,413.79
18399,441,2,283.16,1.08,565.24
912,33,2,46719,7.54,93430.46
18174,153,4,23559.9,2.36,94237.24
15287,362,1,6702.59,12.63,6689.96
2196,109,1,16603.05,1.92,16601.13
8124,351,2,39077.37,3.48,78151.26
19798,405,2,4928.73,9.29,9848.17
4462,299,5,49740.62,0.61,248702.49
18155,25,5,46038.91,16.19,230178.36
18532,262,4,2975.78,15.42,11887.7
12967,214,3,24022.95,0.08,72068.77
5656,207,1,35008.34,9.19,34999.15
17831,465,1,6240.83,11.36,6229.47
7591,269,1,46348.61,1.11,46347.5
8489,317,5,14876.05,8.75,74371.5
4085,319,1,5775.89,11.31,5764.58
14899,357,3,29742.46,5.05,89222.33
10445,56,1,20843.55,12.64,20830.91
282,348,5,5967.72,4.89,29833.71
17540,97,5,44878.78,9.28,224384.62
6197,29,2,21076.04,0.98,42151.1
7953,343,4,21673.02,7.13,86684.95
7573,481,2,9455.33,5.7,18904.96
667,499,4,2416.73,16.11,9650.81
11156,277,5,4869.55,12.46,24335.29
14963,425,5,29187.43,15.84,145921.31
17292,437,4,39149.23,12.01,156584.91
15566,20,3,10986.28,0.36,32958.48
6660,38,3,45993.99,5.22,137976.75
3179,179,2,39437.9,19.07,78856.73
16142,179,4,11888.3,15,47538.2
11308,32,3,34336.75,13.6,102996.65
17725,359,5,30672.93,11.25,153353.4
19006,245,5,42157.86,15.07,210774.23
13447,221,2,10355.7,3.61,20707.79
11409,202,4,4143.48,14.33,16559.59
17165,288,3,46004.17,5.74,138006.77
4456,257,1,17654.34,15.56,17638.78
2221,477,5,38507.81,7.84,192531.21
13580,356,5,10901.23,12.16,54493.99
17251,103,3,36170.27,18.63,108492.18
12052,62,5,46206.92,14.45,231020.15
2617,471,1,39253.28,11.37,39241.91
1105,192,3,15594.92,3.58,46781.18
19331,89,5,33053.53,13.53,165254.12
6220,156,4,44963.06,15.29,179836.95
15887,270,3,2607.52,2.02,7820.54
6247,59,4,28253.35,13.06,113000.34
447,23,1,5342.68,5.35,5337.33
3770,82,2,25889.6,10.92,51768.28
5855,88,4,5988.37,19.05,23934.43
14877,449,2,11382.77,4.45,22761.09
10516,47,5,27608.98,3.02,138041.88
17534,85,2,15588.42,19.67,31157.17
1928,447,2,662.84,6.68,1319
6922,134,3,29353.17,8.64,88050.87
12617,284,3,40354.5,3.73,121059.77
14005,359,5,48736.25,18.44,243662.81
4576,454,5,24788.26,19.38,123921.92
7238,27,5,11421.12,13.44,57092.16
6153,473,2,14819.57,19.29,29619.85
6058,303,4,862.96,14.9,3436.94
7127,166,3,7476.08,6.78,22421.46
10520,498,5,42823.29,18.58,214097.87
10064,80,4,36773.64,6.99,147087.57
16931,128,2,13588,7.57,27168.43
17305,241,3,48582.79,6,145742.37
11079,68,2,48354.42,6.46,96702.38
5540,445,4,9377.83,4.82,37506.5
15241,218,1,35079.84,12.81,35067.03
16045,334,3,39238.74,5.22,117711
8489,500,2,18019.06,18.74,36019.38
13818,84,4,2182.44,14.72,8715.04
9893,194,4,10982.69,13.23,43917.53
