Order_Number,Customer_ID,Store_ID,Coupon_ID,Order_Date,Order_Status,Payment_Status,Order_Total,Tax_Amount,Shipping_Charge,Net_Amount
ORD000001,1092,6,19,2024-12-24 09:19:30,Delivered,Paid,6653.38,1197.61,0,7850.99
ORD000002,4675,2,18,2026-05-19 22:46:16,Pending,Pending,15502.32,2790.42,0,18292.74
ORD000003,518,17,2,2025-03-01 10:04:48,Delivered,Paid,20183.47,3633.02,0,23816.49
ORD000004,2950,12,17,2025-04-06 23:50:08,Delivered,Paid,24154.45,4347.8,0,28502.25
ORD000005,4564,14,10,2026-01-09 11:48:49,Delivered,Paid,10167.46,1830.14,0,11997.6
ORD000006,1989,23,10,2025-10-14 14:34:47,Delivered,Paid,4439.89,799.18,0,5239.07
ORD000007,2198,12,3,2024-10-02 02:21:29,Shipped,Paid,9132.99,1643.94,0,10776.93
ORD000008,4730,24,9,2025-07-29 14:54:51,Shipped,Paid,6234.39,1122.19,0,7356.58
ORD000009,4024,23,4,2025-09-02 21:18:09,Delivered,Paid,11384.17,2049.15,0,13433.32
ORD000010,889,4,14,2024-12-12 10:18:34,Delivered,Paid,12963.72,2333.47,0,15297.19
ORD000011,2034,1,20,2024-12-11 17:21:54,Delivered,Paid,24960.43,4492.88,0,29453.31
ORD000012,3132,11,16,2026-01-11 00:54:29,Pending,Pending,5637.77,1014.8,0,6652.57
ORD000013,2368,13,9,2024-11-04 16:59:17,Delivered,Paid,16732.59,3011.87,0,19744.46
ORD000014,4863,17,10,2024-08-20 00:40:01,Confirmed,Paid,19134.64,3444.24,0,22578.88
ORD000015,1444,15,20,2024-12-15 03:22:30,Cancelled,Failed,17665.5,3179.79,0,20845.29
ORD000016,3764,16,9,2024-07-21 07:19:56,Cancelled,Refunded,11544.65,2078.04,0,13622.69
ORD000017,864,8,13,2026-06-05 12:45:35,Delivered,Paid,13214.21,2378.56,0,15592.77
ORD000018,2073,16,13,2026-02-09 21:51:09,Delivered,Paid,20942.9,3769.72,0,24712.62
ORD000019,619,11,12,2026-03-27 16:58:28,Confirmed,Paid,19005.33,3420.96,0,22426.29
ORD000020,2463,19,17,2024-09-19 09:08:36,Shipped,Paid,17059.1,3070.64,0,20129.74
ORD000021,2931,8,12,2025-12-09 10:20:20,Delivered,Paid,9254.28,1665.77,0,10920.05
ORD000022,2226,20,5,2024-09-29 00:30:53,Delivered,Paid,11217.8,2019.2,0,13237
