Order_ID,Transaction_ID,Payment_Method,Payment_Date,Amount,Payment_Status
1,TXN00000001,Wallet,2024-10-09 19:17:16,7086.69,Success
2,TXN00000002,Credit Card,2026-06-11 21:16:20,4914.06,Success
3,TXN00000003,Wallet,2025-12-12 10:35:10,27322.55,Success
4,TXN00000004,Wallet,2024-12-01 01:11:09,27179.2,Success
5,TXN00000005,Net Banking,2026-06-23 09:25:30,25927.23,Success
6,TXN00000006,Net Banking,2024-12-12 04:24:25,27631.12,Pending
7,TXN00000007,UPI,2024-11-18 10:32:44,21080.1,Success
8,TXN00000008,Wallet,2024-08-23 01:11:31,972.56,Success
9,TXN00000009,Credit Card,2025-04-27 15:39:31,13011.37,Pending
10,TXN00000010,Debit Card,2024-08-25 13:49:50,884.3,Success
11,TXN00000011,Wallet,2025-06-08 13:20:59,24071.15,Pending
12,TXN00000012,UPI,2024-07-15 10:25:47,4976.41,Success
13,TXN00000013,Wallet,2026-05-26 20:41:42,783.82,Success
14,TXN00000014,Debit Card,2026-01-26 16:32:49,23448.93,Success
15,TXN00000015,Credit Card,2024-08-25 02:49:39,16334.04,Failed
16,TXN00000016,Credit Card,2024-12-02 01:44:34,20631.44,Success
17,TXN00000017,Debit Card,2024-09-08 14:39:08,22126.04,Success
18,TXN00000018,Wallet,2024-08-09 15:48:52,3069.26,Success
19,TXN00000019,UPI,2024-08-30 22:52:25,26988.75,Success
20,TXN00000020,UPI,2026-05-10 01:12:26,3348.64,Success
21,TXN00000021,Wallet,2025-04-03 03:00:34,6515.66,Success
22,TXN00000022,Debit Card,2025-06-21 17:01:47,11194.52,Success
23,TXN00000023,UPI,2024-10-19 09:57:57,10712.15,Success
24,TXN00000024,UPI,2026-02-03 12:16:15,19108.57,Success
25,TXN00000025,Credit Card,2025-12-16 06:05:44,27951.82,Pending
26,TXN00000026,Debit Card,2025-06-18 17:59:34,20096.48,Success
27,TXN00000027,Cash,2025-09-26 00:56:59,13240.42,Success
28,TXN00000028,Net Banking,2025-12-06 15:04:13,17515.39,Success
29,TXN00000029,Cash,2024-11-28 20:29:20,13288.19,Success
30,TXN00000030,Cash,2025-07-29 19:58:04,19378.67,Success
31,TXN00000031,Net Banking,2024-08-20 08:43:17,8460.24,Pending
32,TXN00000032,Wallet,2025-11-16 19:51:20,22270.12,Success
33,TXN00000033,Cash,2026-02-15 16:20:54,10662.86,Success
34,TXN00000034,Net Banking,2025-11-28 08:09:05,12101.23,Success
35,TXN00000035,Cash,2024-12-05 23:25:12,15683.41,Success
36,TXN00000036,UPI,2026-05-28 23:05:40,6264.36,Pending
37,TXN00000037,Wallet,2025-07-27 12:35:05,15861.25,Success
38,TXN00000038,UPI,2026-04-13 17:03:42,26032.87,Success
39,TXN00000039,Cash,2025-02-17 11:25:52,10478.1,Success
40,TXN00000040,Credit Card,2024-08-13 13:35:05,25998.83,Success
41,TXN00000041,Wallet,2025-09-13 01:56:15,2631,Pending
42,TXN00000042,Credit Card,2025-07-18 22:39:48,929.86,Success
43,TXN00000043,Net Banking,2024-11-30 06:05:11,4638.1,Success
44,TXN00000044,Wallet,2024-09-09 10:25:27,725.63,Success
45,TXN00000045,Debit Card,2026-05-21 23:25:20,27006.25,Success
46,TXN00000046,Net Banking,2025-06-13 20:49:28,14328.28,Success
47,TXN00000047,Net Banking,2025-11-10 17:41:47,7509.62,Success
48,TXN00000048,Wallet,2025-04-05 22:40:50,25938.52,Success
49,TXN00000049,Net Banking,2026-01-28 07:10:18,10432.64,Success
50,TXN00000050,Net Banking,2025-07-20 16:33:18,2825.76,Success
51,TXN00000051,Wallet,2025-09-17 13:49:54,6854.69,Success
52,TXN00000052,Wallet,2026-02-28 17:33:33,6878.02,Success
53,TXN00000053,UPI,2025-10-01 08:13:23,6811.45,Success
54,TXN00000054,Cash,2025-07-15 11:58:01,6653.29,Success
55,TXN00000055,Wallet,2024-11-24 20:57:25,7256.05,Success
56,TXN00000056,UPI,2024-10-04 04:32:42,5057.32,Pending
57,TXN00000057,Credit Card,2025-06-03 08:08:26,2886.1,Success
58,TXN00000058,UPI,2026-01-14 20:57:39,5778.59,Success
59,TXN00000059,Credit Card,2024-09-06 23:24:20,17095.14,Success
60,TXN00000060,Wallet,2025-04-25 14:38:57,7334.97,Success
61,TXN00000061,Net Banking,2025-01-20 11:01:05,29120.74,Success
62,TXN00000062,Cash,2025-11-02 10:54:48,9447.68,Success
63,TXN00000063,Wallet,2024-11-13 09:59:07,10610.78,Success
64,TXN00000064,Debit Card,2025-10-02 09:07:29,12319.58,Success
65,TXN00000065,Wallet,2026-03-14 19:27:49,28747.51,Success
66,TXN00000066,Debit Card,2026-06-03 13:21:53,13912.51,Success
67,TXN00000067,Wallet,2025-02-14 03:21:01,25279.47,Success
68,TXN00000068,Credit Card,2024-11-20 23:28:49,24222.64,Success
69,TXN00000069,Wallet,2025-01-27 01:35:18,21257.22,Success
70,TXN00000070,Credit Card,2025-06-09 12:37:33,3862.08,Success
71,TXN00000071,Debit Card,2026-02-08 16:13:05,27109.33,Success
72,TXN00000072,Net Banking,2025-03-24 23:11:26,13570.87,Success
73,TXN00000073,Debit Card,2025-08-14 14:33:24,15272.16,Success
74,TXN00000074,Cash,2025-04-30 09:14:56,26836.96,Success
75,TXN00000075,Net Banking,2024-12-05 23:50:11,29989.54,Success
76,TXN00000076,Net Banking,2024-12-12 03:21:43,21025.36,Success
77,TXN00000077,Wallet,2025-07-17 21:54:55,11514.01,Success
78,TXN00000078,Wallet,2024-10-05 23:17:24,10184.8,Success
79,TXN00000079,Net Banking,2025-12-04 15:37:42,29529.09,Success
80,TXN00000080,Credit Card,2025-06-21 09:19:22,22514.91,Pending
81,TXN00000081,Wallet,2025-05-16 14:17:09,1218.27,Success
82,TXN00000082,Cash,2025-05-19 14:23:34,3034.02,Refunded
83,TXN00000083,Wallet,2025-03-06 23:36:07,3207.5,Success
84,TXN00000084,Credit Card,2025-04-08 03:28:02,22167.01,Success
85,TXN00000085,Wallet,2024-08-05 05:14:25,5677.46,Success
86,TXN00000086,Credit Card,2024-12-15 10:12:53,22500.32,Success
87,TXN00000087,Cash,2026-04-01 07:45:14,8609.04,Success
88,TXN00000088,Credit Card,2025-08-10 20:31:25,10608.69,Success
89,TXN00000089,Cash,2024-07-28 23:05:10,18937.83,Success
90,TXN00000090,Wallet,2025-04-23 00:03:53,4120.56,Success
91,TXN00000091,Debit Card,2025-07-13 20:49:16,23823.58,Success
92,TXN00000092,Credit Card,2024-10-04 10:41:40,20395.25,Success
93,TXN00000093,Debit Card,2025-09-09 21:23:45,10116.54,Success
94,TXN00000094,UPI,2025-08-19 03:40:09,20687.49,Success
95,TXN00000095,Wallet,2024-07-19 18:39:44,11839.62,Success
96,TXN00000096,Debit Card,2024-10-01 11:53:38,29667.03,Success
97,TXN00000097,UPI,2026-06-24 14:41:40,4544.78,Pending
98,TXN00000098,Credit Card,2026-04-25 22:09:13,1470.38,Success
99,TXN00000099,Debit Card,2026-02-08 22:01:13,11703.77,Success
100,TXN00000100,UPI,2026-02-27 05:21:50,12288.52,Success
101,TXN00000101,Cash,2025-08-08 05:07:51,2648.37,Success
102,TXN00000102,Debit Card,2025-01-11 13:27:47,5628.99,Success
103,TXN00000103,Wallet,2025-10-23 21:10:46,4146.51,Success
104,TXN00000104,Credit Card,2025-11-17 00:46:41,25936.44,Success
105,TXN00000105,UPI,2026-01-30 14:08:54,5566.3,Pending
106,TXN00000106,Credit Card,2026-02-17 02:13:28,17095.11,Pending
107,TXN00000107,Net Banking,2025-10-05 02:49:22,6702.98,Success
108,TXN00000108,Credit Card,2024-08-21 10:38:41,23612.11,Success
109,TXN00000109,Cash,2024-09-14 03:51:10,7241.09,Refunded
110,TXN00000110,UPI,2026-06-19 07:06:05,25408.8,Success
111,TXN00000111,Credit Card,2024-09-05 12:10:01,8085.89,Pending
112,TXN00000112,Debit Card,2026-03-25 13:15:53,10123.23,Pending
113,TXN00000113,Cash,2025-08-24 10:42:46,3134.03,Success
114,TXN00000114,Net Banking,2025-10-31 11:04:27,24721.54,Success
115,TXN00000115,Credit Card,2026-07-08 16:50:27,28095.13,Success
116,TXN00000116,Credit Card,2025-12-07 02:40:24,5214.28,Success
117,TXN00000117,Net Banking,2026-03-05 22:41:51,17946.59,Success
