Product_Code,Product_Name,Category_ID,Supplier_ID,Brand,Cost_Price,Selling_Price,Profit_Margin,Product_Status,Launch_Date,Warranty_Months
PROD00001,Deleniti Keyboard,15,9,Apple,29910,34608.86,15.71,Available,2022-09-28,12
PROD00002,Distinctio Watch,14,7,LG,41434.47,54121.7,30.62,Available,2024-02-10,36
PROD00003,Delectus Keyboard,8,5,Tata,31195.29,43292.82,38.78,Out of Stock,2025-04-20,24
PROD00004,Nemo Speaker,19,3,Samsung,12386.64,15894.54,28.32,Discontinued,2025-01-14,12
PROD00005,Voluptatum Phone,5,9,Puma,5080.38,6851.4,34.86,Available,2026-03-15,24
PROD00006,Sequi Phone,7,7,Apple,21491.73,25755.69,19.84,Available,2025-04-18,18
PROD00007,Aut Bag,20,9,Sony,14768.98,17105.43,15.82,Available,2024-05-21,12
PROD00008,Enim Speaker,16,7,Mi,30770.41,40469.24,31.52,Available,2021-09-29,6
PROD00009,Nemo Laptop,4,6,OnePlus,27585.14,36925.47,33.86,Available,2023-10-12,18
PROD00010,Animi Shoes,9,2,HP,49096.61,61439.5,25.14,Available,2022-07-01,6
PROD00011,Veniam Watch,16,7,OnePlus,29118.66,36142.08,24.12,Available,2022-07-02,24
PROD00012,Culpa Shirt,16,8,Samsung,35718.41,46873.27,31.23,Discontinued,2023-06-23,18
PROD00013,Numquam Shirt,12,3,HP,43704.84,58398.41,33.62,Out of Stock,2022-02-08,6
PROD00014,Sequi Bag,5,5,Mi,43347.27,53386.5,23.16,Available,2024-08-01,6
PROD00015,Porro Watch,20,1,Nike,6773.11,7716.6,13.93,Available,2023-01-18,36
PROD00016,Eos Speaker,1,5,Tata,23571.69,32658.58,38.55,Available,2021-11-06,12
PROD00017,Animi Keyboard,7,1,Dell,13538.67,15125.4,11.72,Available,2024-02-23,18
PROD00018,Expedita Bag,3,4,Samsung,26253.44,34649.29,31.98,Out of Stock,2022-02-24,24
PROD00019,Magni Phone,11,6,Mi,3229.18,4050.36,25.43,Out of Stock,2026-06-27,24
PROD00020,Culpa Phone,8,6,Adidas,1120.21,1530.65,36.64,Available,2026-01-01,18
PROD00021,Iure Shoes,10,6,LG,49026.66,57434.73,17.15,Available,2022-05-03,36
PROD00022,Maiores Phone,16,5,Lenovo,9070.74,11398.29,25.66,Available,2022-07-23,36
PROD00023,Id Laptop,3,10,Philips,10140.26,12233.21,20.64,Available,2023-07-16,12
PROD00024,Atque Watch,12,8,OnePlus,16320.2,18720.9,14.71,Available,2023-10-09,12
PROD00025,Suscipit TV,19,3,Lenovo,22798,28784.75,26.26,Available,2021-10-22,36
PROD00026,Illo Shoes,19,9,HP,30762.41,34143.2,10.99,Out of Stock,2022-06-28,24
PROD00027,Expedita Headphones,10,5,Nike,44479.23,59846.8,34.55,Available,2023-04-25,12
PROD00028,Suscipit Bag,3,4,Adidas,10892.35,14520.59,33.31,Out of Stock,2021-12-27,24
PROD00029,Odit Shoes,5,5,Samsung,26911.44,30283.44,12.53,Available,2023-03-28,12
PROD00030,Possimus Phone,5,3,Philips,46260.02,54494.3,17.8,Available,2021-12-11,18
PROD00031,Illo Shirt,3,7,LG,34859.73,38690.81,10.99,Available,2022-02-04,18
PROD00032,Enim Shirt,3,4,Lenovo,46964.01,62152.17,32.34,Available,2024-06-08,36
PROD00033,Earum Headphones,4,2,Mi,307.98,428.8,39.23,Available,2021-08-28,18
PROD00034,Consectetur Shirt,12,7,Boat,6490.75,8390.59,29.27,Available,2025-06-12,36
PROD00035,Recusandae Headphones,5,4,HP,43944.76,49367.54,12.34,Available,2022-07-03,18
PROD00036,Vero Laptop,14,9,Adidas,40178.47,52983.35,31.87,Available,2021-07-13,24
PROD00037,Officiis Shirt,4,9,OnePlus,6954.43,7843.9,12.79,Out of Stock,2022-12-25,6
PROD00038,Qui Speaker,17,2,Adidas,6913.72,8711.29,26,Out of Stock,2025-10-20,6
PROD00039,Minima Bag,2,3,Tata,42207.44,51290.48,21.52,Out of Stock,2022-12-27,6
PROD00040,Asperiores TV,2,10,Lenovo,23639.12,29901.12,26.49,Available,2025-04-17,36
PROD00041,Explicabo Shoes,10,3,Boat,41199.22,55594.23,34.94,Discontinued,2025-10-13,12
PROD00042,Repudiandae Bag,1,1,Dell,19267.64,25425.58,31.96,Available,2025-07-25,12
PROD00043,Incidunt Laptop,5,6,Tata,2041.52,2392.87,17.21,Available,2023-11-22,6
PROD00044,Ratione Bag,3,3,Samsung,19667.65,22761.37,15.73,Available,2025-03-05,24
PROD00045,Assumenda Phone,6,10,Adidas,11534.58,15877.35,37.65,Available,2025-11-07,36
PROD00046,Sint Laptop,2,4,Apple,235.57,282.92,20.1,Available,2022-01-27,24
PROD00047,Reprehenderit Keyboard,3,9,Lenovo,3895.74,5059.4,29.87,Available,2022-01-18,18
PROD00048,A Shoes,20,6,Philips,16752.11,21628.65,29.11,Available,2022-11-24,36
PROD00049,Quis Headphones,7,4,Sony,29686.21,39711.24,33.77,Available,2022-08-16,36
PROD00050,Eligendi TV,17,3,Samsung,29227.63,36514.08,24.93,Available,2023-09-24,18
PROD00051,Esse Laptop,10,9,Boat,18800.32,25305.23,34.6,Available,2026-04-21,6
PROD00052,Odio TV,13,5,Tata,26648.95,36469.09,36.85,Available,2021-11-30,12
PROD00053,Necessitatibus Speaker,17,3,OnePlus,17360.8,19827.77,14.21,Available,2022-12-20,6
PROD00054,Sequi TV,10,3,Boat,26065.59,33843.56,29.84,Available,2025-12-17,36
