Order_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount,Return_Status
2511,450,2025-07-28,Damaged product,14035.83,Completed
11882,419,2025-04-24,Defective item,7835.37,Approved
2882,51,2025-06-30,Defective item,23324.63,Completed
14210,68,2026-03-18,Late delivery,21928.43,Completed
15994,454,2026-02-09,Quality issue,12085.73,Completed
19285,57,2024-08-24,Product not as described,15380.52,Completed
11934,373,2026-06-26,Quality issue,21943.46,Completed
2559,240,2026-03-18,Size mismatch,13922.45,Completed
10658,386,2024-10-12,Late delivery,1899.59,Approved
611,60,2025-08-05,Wrong item delivered,20340.17,Approved
5621,92,2026-07-06,Product not as described,144.89,Requested
20000,358,2025-07-01,Wrong item delivered,5744.43,Rejected
551,377,2025-07-05,Wrong item delivered,12493.26,Completed
4240,267,2025-04-02,Wrong item delivered,11358.33,Approved
13319,339,2025-04-13,Damaged product,10025.47,Completed
15040,467,2025-01-29,Defective item,8832.39,Rejected
14553,42,2025-09-25,Damaged product,8438.03,Rejected
7381,36,2025-12-14,Product not as described,8074.84,Completed
4026,264,2025-03-02,Changed mind,22120.54,Completed
19679,5,2025-01-29,Size mismatch,20073.29,Completed
9072,14,2025-09-06,Damaged product,1158.41,Completed
14133,407,2025-09-11,Damaged product,4958.01,Completed
5475,363,2024-11-23,Late delivery,20570.31,Completed
19165,76,2024-12-12,Quality issue,11697.73,Completed
12603,363,2025-02-16,Late delivery,12066.13,Completed
18695,221,2025-07-24,Product not as described,8923.73,Completed
18340,236,2024-07-19,Changed mind,9054.17,Completed
13111,317,2024-09-06,Product not as described,7837.64,Rejected
4421,410,2024-08-07,Damaged product,10105.52,Requested
17928,117,2025-08-02,Late delivery,2098.29,Completed
11207,316,2025-07-11,Size mismatch,13247.63,Requested
3277,345,2025-03-12,Size mismatch,16663.74,Completed
13143,397,2026-03-20,Damaged product,5694.96,Requested
1177,302,2025-09-04,Damaged product,7063.95,Requested
8111,436,2025-09-17,Size mismatch,21175.43,Requested
2756,264,2026-03-07,Changed mind,4529.96,Approved
6881,273,2025-08-04,Product not as described,8536.24,Completed
10701,414,2026-05-28,Changed mind,10389.01,Completed
13900,122,2026-01-22,Size mismatch,19495.44,Approved
13548,384,2025-08-29,Defective item,23875.54,Completed
16434,45,2025-10-01,Defective item,7273.9,Approved
16197,304,2024-09-20,Damaged product,633.76,Completed
2272,223,2025-06-06,Product not as described,16642.64,Completed
4486,428,2025-02-09,Defective item,9881.87,Completed
12056,271,2025-08-26,Product not as described,1963.63,Completed
11581,254,2026-03-22,Late delivery,12279.17,Approved
6053,256,2025-04-29,Size mismatch,8824.07,Completed
4699,466,2024-07-21,Product not as described,16187.88,Approved
14593,142,2026-06-28,Damaged product,21444.26,Approved
9200,13,2025-08-12,Size mismatch,22541.95,Completed
17293,312,2026-06-18,Changed mind,13869.14,Completed
10506,81,2024-12-14,Damaged product,8324.9,Approved
6431,6,2025-07-16,Quality issue,17273.54,Completed
17715,390,2024-10-09,Damaged product,22136.64,Completed
16342,104,2026-06-07,Wrong item delivered,11438.17,Completed
4775,405,2026-03-16,Damaged product,5647.15,Rejected
12861,139,2025-02-12,Damaged product,8878.23,Approved
5605,425,2025-12-20,Late delivery,13224.69,Rejected
2185,63,2026-03-10,Product not as described,1280.34,Completed
2590,480,2026-04-29,Defective item,13699.74,Completed
11173,287,2024-09-01,Late delivery,9182.14,Completed
12069,103,2026-01-08,Late delivery,16929.51,Completed
15332,76,2025-09-22,Damaged product,9540.34,Completed
10257,244,2026-04-07,Size mismatch,8478.18,Completed
12082,229,2025-07-24,Damaged product,9924.88,Completed
8175,164,2025-05-24,Quality issue,12635.82,Approved
10300,492,2024-12-29,Late delivery,6336.96,Approved
16313,161,2024-10-14,Product not as described,21620.25,Completed
10295,368,2026-02-04,Quality issue,17775.26,Requested
10487,454,2025-12-24,Late delivery,18159.09,Completed
3909,193,2025-11-01,Defective item,8137.38,Rejected
7851,453,2026-02-09,Late delivery,23097.62,Approved
16965,347,2025-05-08,Changed mind,8355.4,Completed
13875,120,2025-12-11,Defective item,22731.83,Completed
16437,221,2026-03-14,Quality issue,13401.18,Completed
18584,294,2025-07-22,Product not as described,15807.52,Completed
6962,469,2024-07-31,Damaged product,3908.82,Completed
17273,43,2026-02-17,Quality issue,5049.23,Requested
2559,415,2024-09-17,Quality issue,15853.43,Rejected
18609,421,2025-04-04,Quality issue,3499.83,Completed
2301,104,2025-02-20,Wrong item delivered,23406.01,Approved
7364,27,2024-09-20,Product not as described,17429.79,Approved
9438,340,2025-10-12,Size mismatch,8528.24,Approved
17172,107,2025-05-03,Late delivery,12757.33,Approved
10265,459,2025-06-24,Defective item,6383.87,Approved
18765,341,2025-12-27,Late delivery,21355.51,Approved
2781,315,2025-01-30,Product not as described,21347.17,Rejected
882,475,2026-04-14,Late delivery,2793.65,Completed
16114,301,2025-09-29,Quality issue,9945.47,Requested
9929,152,2024-12-10,Late delivery,16685.5,Completed
12534,304,2025-03-06,Defective item,12105.59,Completed
