Order_ID,Delivery_Partner_ID,Tracking_Number,Shipment_Date,Delivery_Date,Delivery_Status
7033,2,TRK00000001,2025-07-27,2025-08-04,Delivered
18644,3,TRK00000002,2026-03-18,2026-03-20,In Transit
19015,8,TRK00000003,2024-12-01,2024-12-02,Shipped
14205,9,TRK00000004,2025-01-02,2025-01-06,Delivered
9559,5,TRK00000005,2024-11-11,2024-11-12,Delivered
5423,10,TRK00000006,2025-08-17,2025-08-22,Shipped
13766,10,TRK00000007,2024-09-20,2024-09-28,In Transit
5004,7,TRK00000008,2024-10-30,2024-11-05,Delivered
17753,5,TRK00000009,2026-05-02,2026-05-07,Delivered
1823,3,TRK00000010,2025-07-01,2025-07-07,Delivered
14979,1,TRK00000011,2025-09-14,2025-09-22,In Transit
12856,1,TRK00000012,2025-03-12,2025-03-21,Delivered
16336,10,TRK00000013,2025-11-12,2025-11-19,Delivered
1983,7,TRK00000014,2025-08-03,2025-08-06,Delivered
9121,1,TRK00000015,2025-12-20,2025-12-30,Shipped
3890,3,TRK00000016,2024-12-05,2024-12-07,Returned
6435,4,TRK00000017,2026-01-03,2026-01-12,Delivered
4985,10,TRK00000018,2026-04-19,2026-04-28,Returned
17600,5,TRK00000019,2025-11-12,2025-11-18,Delivered
7044,4,TRK00000020,2025-06-29,2025-07-05,Delivered
5072,6,TRK00000021,2025-10-16,2025-10-17,Shipped
10496,4,TRK00000022,2025-06-01,2025-06-09,Delivered
9284,10,TRK00000023,2024-09-30,2024-10-03,Delivered
10974,9,TRK00000024,2026-01-30,2026-01-31,Delivered
19965,8,TRK00000025,2025-08-09,2025-08-11,Delivered
4353,6,TRK00000026,2026-04-30,2026-05-07,Shipped
1249,5,TRK00000027,2026-05-20,2026-05-28,In Transit
1076,8,TRK00000028,2026-07-01,2026-07-04,Returned
11510,7,TRK00000029,2024-11-14,2024-11-22,Delivered
1071,7,TRK00000030,2025-06-14,2025-06-15,Delivered
10844,7,TRK00000031,2025-09-28,2025-10-05,In Transit
11983,9,TRK00000032,2025-10-09,2025-10-12,Delivered
16451,4,TRK00000033,2026-06-06,2026-06-16,Returned
15330,10,TRK00000034,2024-12-22,2024-12-30,Returned
4430,1,TRK00000035,2025-02-05,2025-02-13,Delivered
18537,3,TRK00000036,2025-09-08,2025-09-18,Delivered
11934,2,TRK00000037,2025-12-15,2025-12-18,Shipped
8204,3,TRK00000038,2026-01-15,2026-01-22,Delivered
8852,3,TRK00000039,2024-12-04,2024-12-09,Delivered
15448,9,TRK00000040,2025-06-20,2025-06-28,In Transit
1120,1,TRK00000041,2025-10-03,2025-10-13,Delivered
16260,2,TRK00000042,2025-01-03,2025-01-11,Delivered
2575,4,TRK00000043,2025-07-25,2025-07-26,Delivered
15541,2,TRK00000044,2025-07-14,2025-07-18,Delivered
9816,4,TRK00000045,2025-12-20,2025-12-24,Delivered
5415,8,TRK00000046,2025-10-21,2025-10-25,In Transit
17522,8,TRK00000047,2024-12-18,2024-12-27,Delivered
4635,5,TRK00000048,2026-03-05,2026-03-07,In Transit
16379,5,TRK00000049,2025-11-07,2025-11-15,Shipped
13540,7,TRK00000050,2025-11-09,2025-11-18,Shipped
13531,1,TRK00000051,2026-01-06,2026-01-14,Delivered
9993,1,TRK00000052,2026-06-27,2026-06-28,Delivered
18094,1,TRK00000053,2025-04-30,2025-05-05,Delivered
18407,7,TRK00000054,2026-03-01,2026-03-10,Delivered
6756,3,TRK00000055,2025-11-23,2025-12-03,Delivered
9675,9,TRK00000056,2024-12-28,2025-01-07,Delivered
17112,7,TRK00000057,2025-07-13,2025-07-16,Delivered
16188,3,TRK00000058,2025-02-16,2025-02-23,Delivered
8105,8,TRK00000059,2025-09-15,2025-09-17,Delivered
14446,7,TRK00000060,2025-02-10,2025-02-12,Delivered
13763,4,TRK00000061,2025-11-28,2025-12-02,Delivered
17546,2,TRK00000062,2026-05-29,2026-06-07,In Transit
4925,4,TRK00000063,2026-05-12,2026-05-22,Delivered
2784,3,TRK00000064,2024-10-10,2024-10-11,In Transit
12332,4,TRK00000065,2024-12-04,2024-12-13,Delivered
18225,10,TRK00000066,2025-02-28,2025-03-10,Delivered
17256,5,TRK00000067,2025-01-28,2025-01-29,Delivered
803,9,TRK00000068,2024-08-28,2024-09-03,Delivered
2668,9,TRK00000069,2026-03-12,2026-03-13,Delivered
19778,6,TRK00000070,2025-02-09,2025-02-16,Delivered
15962,3,TRK00000071,2026-01-12,2026-01-19,Shipped
7573,9,TRK00000072,2026-04-30,2026-05-06,Delivered
4076,6,TRK00000073,2025-01-05,2025-01-07,In Transit
7828,7,TRK00000074,2026-06-13,2026-06-19,Delivered
69,10,TRK00000075,2025-09-02,2025-09-12,Delivered
4556,7,TRK00000076,2024-09-11,2024-09-13,Delivered
4570,9,TRK00000077,2025-11-13,2025-11-17,In Transit
14577,7,TRK00000078,2025-07-18,2025-07-21,Delivered
18077,9,TRK00000079,2025-08-06,2025-08-10,Shipped
15088,2,TRK00000080,2025-08-22,2025-08-23,Delivered
2744,10,TRK00000081,2026-06-21,2026-06-26,Shipped
5310,4,TRK00000082,2025-07-08,2025-07-15,Returned
10604,7,TRK00000083,2026-04-22,2026-04-23,Delivered
16244,6,TRK00000084,2024-08-24,2024-08-25,Delivered
9672,7,TRK00000085,2026-03-12,2026-03-22,Delivered
575,2,TRK00000086,2025-04-06,2025-04-08,Delivered
6127,5,TRK00000087,2025-08-08,2025-08-09,Delivered
4888,10,TRK00000088,2024-11-19,2024-11-23,Delivered
15967,1,TRK00000089,2025-04-25,2025-05-04,In Transit
15314,5,TRK00000090,2025-05-04,2025-05-09,Delivered
3266,9,TRK00000091,2025-06-05,2025-06-09,Delivered
8213,6,TRK00000092,2025-12-03,2025-12-10,Delivered
783,10,TRK00000093,2025-01-27,2025-01-28,Delivered
9712,1,TRK00000094,2024-10-19,2024-10-23,Delivered
1629,9,TRK00000095,2025-09-14,2025-09-20,Returned
14242,3,TRK00000096,2025-12-28,2026-01-04,Delivered
3058,6,TRK00000097,2025-06-19,2025-06-28,Delivered
17261,8,TRK00000098,2025-02-18,2025-02-20,Delivered
16492,8,TRK00000099,2025-12-21,2025-12-25,Delivered
18243,4,TRK00000100,2025-11-27,2025-12-01,Delivered
1214,1,TRK00000101,2026-07-02,2026-07-07,Delivered
18152,8,TRK00000102,2026-06-29,2026-07-07,Shipped
9468,2,TRK00000103,2026-05-22,2026-05-30,Delivered
3836,9,TRK00000104,2026-01-21,2026-01-28,Delivered
8399,6,TRK00000105,2025-09-14,2025-09-22,Shipped
15915,5,TRK00000106,2024-11-10,2024-11-11,In Transit
3881,2,TRK00000107,2026-06-21,2026-06-23,Delivered
2038,6,TRK00000108,2026-06-10,2026-06-12,Delivered
13630,8,TRK00000109,2025-06-17,2025-06-23,Delivered
17351,9,TRK00000110,2026-02-20,2026-02-28,Shipped
9989,8,TRK00000111,2026-05-21,2026-05-22,In Transit
18430,2,TRK00000112,2025-08-22,2025-08-25,Delivered
13784,6,TRK00000113,2026-06-07,2026-06-14,Returned
13210,1,TRK00000114,2025-03-16,2025-03-21,Shipped
14241,10,TRK00000115,2026-06-06,2026-06-15,In Transit
16489,8,TRK00000116,2025-07-02,2025-07-06,Shipped
6218,8,TRK00000117,2024-11-15,2024-11-22,Shipped
12399,4,TRK00000118,2025-09-19,2025-09-20,Delivered
6615,7,TRK00000119,2026-03-12,2026-03-16,Delivered
12560,3,TRK00000120,2025-12-26,2026-01-03,In Transit
6463,10,TRK00000121,2026-02-21,2026-02-26,Shipped
8913,2,TRK00000122,2024-11-17,2024-11-21,Delivered
7067,2,TRK00000123,2025-12-24,2025-12-25,Shipped
16764,3,TRK00000124,2026-05-13,2026-05-22,In Transit
16659,1,TRK00000125,2025-09-15,2025-09-25,Delivered
7116,5,TRK00000126,2025-06-21,2025-06-28,Shipped
14149,6,TRK00000127,2024-12-25,2025-01-02,In Transit
13774,8,TRK00000128,2024-08-07,2024-08-14,In Transit
9964,4,TRK00000129,2025-01-26,2025-01-31,Shipped
13606,7,TRK00000130,2026-03-20,2026-03-26,Delivered
384,7,TRK00000131,2024-08-07,2024-08-09,Delivered
15402,8,TRK00000132,2025-10-22,2025-10-25,In Transit
12037,4,TRK00000133,2025-07-17,2025-07-21,Shipped
1461,10,TRK00000134,2026-04-21,2026-04-29,In Transit
19382,1,TRK00000135,2026-05-06,2026-05-09,Delivered
3808,10,TRK00000136,2026-04-14,2026-04-21,Delivered
10094,4,TRK00000137,2025-05-11,2025-05-18,Delivered
5627,6,TRK00000138,2025-06-11,2025-06-13,Delivered
15430,5,TRK00000139,2025-08-09,2025-08-18,Delivered
16236,1,TRK00000140,2026-05-01,2026-05-09,Returned
2896,9,TRK00000141,2025-10-03,2025-10-13,Delivered
3139,1,TRK00000142,2025-03-19,2025-03-26,Delivered
19975,8,TRK00000143,2026-05-07,2026-05-14,Shipped
15276,8,TRK00000144,2025-04-15,2025-04-23,In Transit
1773,4,TRK00000145,2025-08-19,2025-08-24,Delivered
1958,10,TRK00000146,2026-06-14,2026-06-24,Delivered
73,6,TRK00000147,2025-12-09,2025-12-18,Delivered
475,7,TRK00000148,2025-02-11,2025-02-18,Delivered
11385,6,TRK00000149,2025-02-19,2025-02-23,Delivered
2319,4,TRK00000150,2025-10-13,2025-10-18,In Transit
2171,3,TRK00000151,2025-01-17,2025-01-22,Delivered
13084,9,TRK00000152,2025-09-22,2025-09-28,Delivered
3127,1,TRK00000153,2024-11-12,2024-11-15,Delivered
8764,3,TRK00000154,2026-05-23,2026-06-01,Delivered
19526,6,TRK00000155,2025-04-21,2025-05-01,Delivered
1384,2,TRK00000156,2024-08-17,2024-08-24,Shipped
13180,1,TRK00000157,2025-05-18,2025-05-28,In Transit
19366,4,TRK00000158,2025-01-11,2025-01-19,Delivered
5000,2,TRK00000159,2026-03-06,2026-03-11,In Transit
17527,2,TRK00000160,2025-05-28,2025-06-04,In Transit
13733,9,TRK00000161,2026-02-20,2026-02-22,Delivered
8396,7,TRK00000162,2026-01-28,2026-02-05,In Transit
15604,3,TRK00000163,2025-10-26,2025-10-30,Delivered
16238,2,TRK00000164,2026-04-16,2026-04-22,Delivered
2382,4,TRK00000165,2025-01-15,2025-01-16,Delivered
2073,4,TRK00000166,2026-03-15,2026-03-23,Delivered
14413,5,TRK00000167,2024-11-17,2024-11-23,In Transit
7987,8,TRK00000168,2026-02-06,2026-02-11,Delivered
13682,8,TRK00000169,2026-05-06,2026-05-12,Returned
1278,8,TRK00000170,2025-11-18,2025-11-28,Delivered
9682,6,TRK00000171,2025-01-08,2025-01-18,Shipped
13249,6,TRK00000172,2026-03-01,2026-03-02,Delivered
17173,3,TRK00000173,2026-06-27,2026-07-02,Shipped
10567,4,TRK00000174,2026-07-03,2026-07-09,Returned
3197,10,TRK00000175,2024-07-20,2024-07-21,Delivered
8065,2,TRK00000176,2026-01-20,2026-01-28,In Transit
18435,8,TRK00000177,2025-04-18,2025-04-20,Delivered
15288,4,TRK00000178,2025-03-09,2025-03-15,Delivered
17255,2,TRK00000179,2025-09-05,2025-09-09,Shipped
4217,1,TRK00000180,2025-03-16,2025-03-22,In Transit
8808,8,TRK00000181,2024-07-22,2024-07-26,Delivered
4298,10,TRK00000182,2025-07-07,2025-07-14,Delivered
19118,4,TRK00000183,2026-01-02,2026-01-05,Shipped
10368,1,TRK00000184,2025-11-18,2025-11-24,Delivered
15400,1,TRK00000185,2025-02-15,2025-02-20,Delivered
2625,5,TRK00000186,2025-04-04,2025-04-05,Returned
187,8,TRK00000187,2025-03-08,2025-03-13,Shipped
4275,9,TRK00000188,2024-07-11,2024-07-21,Returned
8107,7,TRK00000189,2025-09-04,2025-09-07,Delivered
2562,2,TRK00000190,2024-11-05,2024-11-06,In Transit
6151,7,TRK00000191,2025-09-24,2025-09-30,Delivered
11,2,TRK00000192,2025-01-03,2025-01-09,Delivered
10076,7,TRK00000193,2026-01-29,2026-02-01,Delivered
9788,8,TRK00000194,2025-10-11,2025-10-12,Delivered
8569,7,TRK00000195,2024-10-25,2024-10-28,Delivered
4820,2,TRK00000196,2025-09-19,2025-09-29,Delivered
1601,3,TRK00000197,2025-04-08,2025-04-18,Delivered
8644,8,TRK00000198,2025-09-02,2025-09-03,Delivered
14032,5,TRK00000199,2026-07-11,2026-07-15,Delivered
15511,8,TRK00000200,2025-09-02,2025-09-10,Delivered
7470,4,TRK00000201,2025-09-07,2025-09-09,Shipped
16006,2,TRK00000202,2026-04-12,2026-04-21,Delivered
5600,5,TRK00000203,2025-11-19,2025-11-22,Delivered
13221,1,TRK00000204,2025-02-19,2025-02-24,In Transit
1070,2,TRK00000205,2026-06-10,2026-06-16,Shipped
15344,2,TRK00000206,2025-04-27,2025-04-30,Delivered
2263,5,TRK00000207,2025-06-02,2025-06-06,Delivered
11276,6,TRK00000208,2025-07-20,2025-07-22,In Transit
288,2,TRK00000209,2026-05-02,2026-05-05,Delivered
19119,1,TRK00000210,2025-11-12,2025-11-17,Delivered
3362,3,TRK00000211,2024-09-07,2024-09-13,Delivered
14778,8,TRK00000212,2024-10-03,2024-10-06,Delivered
17848,5,TRK00000213,2024-10-18,2024-10-24,Shipped
10934,7,TRK00000214,2025-03-16,2025-03-22,Delivered
12203,1,TRK00000215,2026-01-06,2026-01-09,Shipped
18315,3,TRK00000216,2026-05-08,2026-05-09,Delivered
2055,2,TRK00000217,2025-09-18,2025-09-22,Shipped
18294,4,TRK00000218,2025-03-04,2025-03-09,Delivered
